,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,MW,HTGD,ATGD,HTPD,ATPD,HTCAD,ATCAD,HTFD,ATFD,HTCOD,ATCOD,HTSHOTSD,ATSHOTSD,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HCARD1,ACARD1,HCARD2,ACARD2,HCARD3,ACARD3,HCARD4,ACARD4,HCARD5,ACARD5,HF1,AF1,HF2,AF2,HF3,AF3,HF4,AF4,HF5,AF5,HCORNER1,ACORNER1,HCORNER2,ACORNER2,HCORNER3,ACORNER3,HCORNER4,ACORNER4,HCORNER5,ACORNER5,HTFormTemp,ATFormTemp,HTFormPts,ATFormPts,DiffFormPts,HTOTCRD,ATOTCRD,TOTALCARDS,HTOTFOUL,ATOTFOUL,TOTALFOULS,HTOTCORNER,ATOTCORNER,TOTALCORNER,HTOTSHOT,ATOTSHOT,TOTALSHOT
0,19/08/00,Charlton,Man City,4,0,2,2,0,2,Rob Harris,17,8,14,4,6,6,13,12,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,1,2,3.0,13,12,25.0,6,6,12.0,31,12,43.0
1,19/08/00,Chelsea,West Ham,4,2,2,1,0,2,Graham Barber,17,12,10,5,7,7,19,14,1,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,1,2,3.0,19,14,33.0,7,7,14.0,27,17,44.0
2,19/08/00,Coventry,Middlesbrough,1,3,0,1,1,1,Barry Knight,6,16,3,9,8,4,15,21,5,3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,6,3,9.0,15,21,36.0,8,4,12.0,9,25,34.0
3,19/08/00,Derby,Southampton,2,2,1,1,2,0,Andy D'Urso,6,13,4,6,5,8,11,13,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,1,1,2.0,11,13,24.0,5,8,13.0,10,19,29.0
4,19/08/00,Leeds,Everton,2,0,2,2,0,2,Dermot Gallagher,17,12,8,6,6,4,21,20,1,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,1,3,4.0,21,20,41.0,6,4,10.0,25,18,43.0
5,19/08/00,Leicester,Aston Villa,0,0,1,0,0,1,Mike Riley,5,5,4,3,5,4,12,12,2,3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,2,3,5.0,12,12,24.0,5,4,9.0,9,8,17.0
6,19/08/00,Liverpool,Bradford,1,0,2,0,0,1,Paul Durkin,16,3,10,2,6,1,8,8,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,1,1,2.0,8,8,16.0,6,1,7.0,26,5,31.0
7,19/08/00,Sunderland,Arsenal,1,0,2,0,0,1,Steve Dunn,8,14,2,7,2,9,10,21,3,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,3,2,5.0,10,21,31.0,2,9,11.0,10,21,31.0
8,19/08/00,Tottenham,Ipswich,3,1,2,2,1,2,Alan Wiley,20,15,6,5,3,4,14,13,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,0,0,0.0,14,13,27.0,3,4,7.0,26,20,46.0
9,20/08/00,Man United,Newcastle,2,0,2,1,0,2,Steve Lodge,19,9,9,6,7,1,7,13,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMMMM,MMMMM,0,0,0.0,0,1,1.0,7,13,20.0,7,1,8.0,28,15,43.0
